varname,vartype,projectid
 ,char,43
!,char,13
#,char,403
$,char,84
%,char,35
&,char,2
',char,10
),char,1
*,char,16
+,char,69
",",char,18
-,char,158
.,char,122
:,char,12
;,char,1
<,char,3
=,char,7
>,char,26
?,char,76
@,char,7
^,char,2
_,char,33
a,char,799
b,char,1370
c,char,762
d,char,461
e,char,94
f,char,256
g,char,295
h,char,56
i,char,2244
j,char,358
k,char,163
l,char,264
m,char,132
n,char,287
o,char,187
p,char,237
q,char,52
r,char,418
s,char,235
t,char,506
u,char,31
v,char,212
w,char,141
x,char,2735
y,char,2597
z,char,195
|,char,1
~,char,7
